person	position	institution	address	year
François Fairé	Juge	Tribunal Mixte d'Alexandrie		1939
Mohamed Fahmy el-Issaoui Bey	Juge	Tribunal Mixte d'Alexandrie		1939
Eduard Miklmayr	Juge	Tribunal Mixte d'Alexandrie		1939
A.J.N.M. Struycken	Juge	Tribunal Mixte d'Alexandrie		1939
René Stenuit	Juge	Tribunal Mixte d'Alexandrie		1939
Osman Sabry	Juge	Tribunal Mixte d'Alexandrie		1939
Ismail Ibrahim Gazzarine	Juge	Tribunal Mixte d'Alexandrie		1939
Hussein Fakhry Bey	Juge	Tribunal Mixte d'Alexandrie		1939
Marcel Laforge	Juge	Tribunal Mixte d'Alexandrie		1939
Poly Modinos	Juge	Tribunal Mixte d'Alexandrie		1939
Adib Maakad Bey	Greffier en Chef	Tribunal Mixte d'Alexandrie		1939
Me. Félix Padoa	Bâtonnier de l'ordre des Avocats près le Juridictions Mixtes	Barreau Mixte	Place Mohamed Aly, 20378, Alexandrie.	1939
Me. Paolo Colucci	Substitut du Bâtonnier	Barreau Mixte		1939
Antonio Pennetta	Président	Tribunal Mixte du Caire	Avenue Fouad I., 57730, Le Caire.	1939
Zaki Ghali Bey	Vice-Président	Tribunal Mixte du Caire		1939
Franco Gautero	Juge	Tribunal Mixte du Caire		1939
H.G. Bechmann	Juge	Tribunal Mixte du Caire		1939
Maurice de Wée	Juge	Tribunal Mixte du Caire		1939
José Fesser y Reina	Juge	Tribunal Mixte du Caire		1939
Torsten Salen	Juge	Tribunal Mixte du Caire		1939
H. Wickestrom	Juge	Tribunal Mixte du Caire		1939
W. Uppenkamp	Juge	Tribunal Mixte du Caire		1939
Jacques Eeman	Juge	Tribunal Mixte du Caire		1939
Moustafa Mokhtar Bey	Juge	Tribunal Mixte du Caire		1939
Ahmed Saroit	Juge	Tribunal Mixte du Caire		1939
Ahmed Kamel Chihab el-Dine Bey	Juge	Tribunal Mixte du Caire		1939
J. Henri Peuch	Juge	Tribunal Mixte du Caire		1939
Riad Abdelaziz Bey	Juge	Tribunal Mixte du Caire		1939
H.H. Barne	Juge	Tribunal Mixte du Caire		1939
J.M. De Freitas	Juge	Tribunal Mixte du Caire		1939
Mahmoud Helmy Souka Bey	Juge	Tribunal Mixte du Caire		1939
G. Roilos	Juge	Tribunal Mixte du Caire		1939
Mohamed Charmy Bey	Juge	Tribunal Mixte du Caire		1939
E. Cucinotta	Juge	Tribunal Mixte du Caire		1939
B. How Conner	Juge	Tribunal Mixte du Caire		1939
Robert Courvoisier	Juge	Tribunal Mixte du Caire		1939
Iskandar Assabghi Bey	Juge	Tribunal Mixte du Caire		1939
Zakaria Mohanna Bey	Juge	Tribunal Mixte du Caire		1939
Kamel Wasfi Abouldahab Bey	Juge	Tribunal Mixte du Caire		1939
Mohamed Issawi Bey	Juge	Tribunal Mixte du Caire		1939
Dr. Abdelrazak El-Sanhoury Bey	Juge	Tribunal Mixte du Caire		1939
Abdou El-Barkouki Bey	Juge	Tribunal Mixte du Caire		1939
Helmy Makram Ebeid	Chef du Parquet	Tribunal Mixte du Caire		1939
Umberto Prati	Greffier en Chef	Tribunal Mixte du Caire		1939
Me. Michel Syriotis	Substitut du Bâtonnier au Caire	Barreau Mixte	Avenue Fouad I., (Palais de Justice Mixte), 57124, Le Caire.	1939
Mohamed Sadek Fahmy Bey	Président	Tribunal Mixte de Mansourah		1939
M Kokinopoulo	Vice-Président	Tribunal Mixte de Mansourah		1939
Rudolf Blohdorn	Juge	Tribunal Mixte de Mansourah		1939
Youssef M. Delavor	Juge	Tribunal Mixte de Mansourah		1939
El-Sayed Hassouna El-Toayar	Juge	Tribunal Mixte de Mansourah		1939
Mohamed Mokhtar Abdallah	Chef du Parquet	Tribunal Mixte de Mansourah		1939
